id,name,origin,height,weight,life_span,temperament,health
97,Saint Bernard,Switzerland,"25.5-27.5""",120-200 lb, 8–10 years,"The calm, easygoing, low-energy Saint Bernard is gentle and patient around children, although they are not particularly playful. Most get along with other family dogs. They are not big barkers, but their bark is loud. They are devoted to their family and are willing to please, although at their own pace. They can sometimes be stubborn.","|Major concerns: CHD, gastric torsion, entropion, ectropion, elbow dysplasia, osteosarcoma|Minor concerns: OCD, diabetes, seizures, heart conditions, cardiomyopathy, CVI, hot spots • Occasionally seen: distichiasis|Suggested tests: hip, elbow, cardiac, eye|Life span: 8–10 years|Note: The Saint Bernard does not tolerate heat well."
98,Eskimo Dog,United States,"9-19""",6-40 lb, 12–14 years,"The American Eskimo is bright, eager to please, lively, and fun loving—in short, an enjoyable and generally obedient companion. True to this dog’s spitz heritage, The Eskie is independent and tenacious and loves to run, especially in cold weather. They are among the most biddable of spitz breeds, and are calm and well-mannered inside. Because of their watchdog origins, Eskies can be wary of strangers, and may not be the best choice for homes with small children, other dogs, or pets unless well supervised.","|Major concerns: none|Minor concerns: CHD, PRA, patellar luxation|Occasionally seen: diabetes|Suggested tests: hip, eye, (knee), DNA for PRA|Life span: 12–14 years"
99,Malamute,Alaska,"23-25""",75-85 lb, 10–12 years,"The Alaskan Malamute is powerful, independent, strong willed, and fun loving. Given the dog’s history as a sled dog, the malamute loves activity and interaction with the family. Malamutes are family oriented, and as long as they are given daily exercise, they are well-mannered in the home. Without proper exercise, they can become frustrated and destructive. This dog is friendly and sociable toward people, but may be assertive and should be introduced carefully to new dogs, pets, or livestock. Some can be domineering, and tend to dig and howl.","|Major concerns: CHD, cataract|Minor concerns: chondrodysplasia, hypothyroidism|Occasionally seen: gastric torsion, hemeralopia, polyneuropathy, seizures|Suggested tests: hip, eye, (thyroid), (elbow), chondrodysplasia, (polyneuropathy)|Life span: 10–12 years"
100,Siberian Husky,Russia (Siberia),"20-23.5""",35-60 lb, 11–13 years,"Fun-loving, adventurous, alert, independent, clever, stubborn, mischievous, and obstinate all describe the Siberian Husky. This breed loves to run and will roam if given the chance. They may be very assertive toward strange dogs, but they are generally good with other dogs in the home. In fact, they are very social and must have lots of human or canine companionship. They may chase strange cats or small pets. Some are likely to howl, dig, and chew.","|Major concerns: none|Minor concerns: PRA, cataract, corneal dystrophy, hypothyroidism|Occasionally seen: CHD|Suggested tests: eye, (thyroid), hip|Life span: 11–13 years"
101,Affenpinscher,Germany,"9.5-11.5""",7-9 lb, 12–14 years,"The Affenpinscher lives up to its name monkey terrier in both looks and actions. They are terriers at heart, busy, inquisitive, bold, and stubborn, but also love to monkey around, being playful and mischievous. This breed tends to bark and even climb. Unlike most terriers, they are fairly good with other dogs and pets. This little dog is best with a family that likes entertainment and has a very good sense of humor.","|Major concerns: none|Minor concerns: patellar luxation, corneal ulcers|Occasionally seen: PDA, open fontanel, respiratory difficulties, Legg-Perthes|Suggested tests: knee, eye|Life span: 12–14 years"
102,Basenji,Central Africa (Zaire and the Congo),"16-17""",22-24 lb, 12–14 years,"Some consider Basenjis to have terrier-like mannerisms because they are feisty for a hound. More often they are considered catlike in mannerisms: clever, inquisitive, stubborn, independent, and reserved. Their hunting roots are very evident, as they love to chase and trail. They need regular mental and physical stimulation lest it become frustrated and destructive. Basenjis may be barkless, but they are not mute. They do make a sort of yodel, howl, and shriek—and occasionally bark, but just one or two “fox barks” at a time. This breed gets along fairly well with other dogs, but often poorly with other Basenjis.","|Major concerns: Fanconi syndrome, PRA, Basenji enteropathy|Minor concerns: PPM, PK, hypothyroidism, umbilical hernia|Occasionally seen: CHD, patellar luxation, corneal dystrophy|Suggested tests: eye, thyroid, hip, Fanconi, DNA for PK, DNA for PRA|Life span: 12–14 years"
103,Pug,China,"10-11""",14-18 lb, 12–15 years,"A delightful blend of dignity and comedy, the Pug is an amiable, playful, and confident companion. They can be stubborn and headstrong, but they are pleasant and generally willing to please. They love to cavort and show off.","|Major concerns: Pug dog encephalitis, CHD, brachycephalic syndrome|Minor concerns: elongated palate, stenotic nares, patellar luxation, Legg-Perthes, entropion, KCS, skin infections, hemivertebra|Occasionally seen: seizures, nerve degeneration, distichiasis, allergies, demodicosis|Suggested tests: eye, hip, knee, DNA Pug dog encephalitis|Life span: 12–15 years|Note: The Pug cannot tolerate heat and is sensitive to anesthesia. They are prone to corneal abrasion and obesity."
104,Leonberg,Germany,"25.5-31.5""",100-170 lb, 8–11 years,"The Leo is a devoted and trustworthy companion, even-tempered, and very affectionate. They are eager to please and fairly easy to train. They are friendly to strangers but also protective of their owners. They are generally good with other pets and dogs, although some can be domineering toward other dogs. Quiet and calm indoors, they are nonetheless good watchdogs.","|Major concerns: CHD|Minor concerns: elbow dysplasia, gastric torsion, osteosarcoma|Occasionally seen: entropion, ectropion, polyneuropathy|Suggested tests: hip, eye, DNA for polyneuropathy|Life span: 8–11 years"
105,Newfoundland,Canada,"26-28""",100-150 lb, 8–10 years,"The most important single characteristic of the Newfoundland is sweetness of temperament. The Newfoundland is calm, patient, easygoing, gentle, and amiable—a friend to all. If its family is threatened, however, the Newfoundland can act protectively.","|Major concerns: SAS, cystinuria, elbow dysplasia, CHD, gastric torsion|Minor concerns: OCD, entropion, ectropion, vWD, cataract, cruciate ligament rupture|Occasionally seen: epilepsy, vWD|Suggested tests: hip, elbow, cardiac, vWD, cystinuria|Life span: 8–10 years|Note: Newfoundlands do not tolerate heat well; some are sensitive to anesthesia."
106,Great Pyrenees,France,"25-32""",85-115 lb, 10–12 years,"The Great Pyrenees is a capable and imposing guardian. This breed is devoted to its family and somewhat wary of strangers—human or canine. When not provoked, the breed is calm, well-mannered, and somewhat serious. While very gentle with family and children, the Great Pyrenees has an independent, somewhat stubborn, nature.  Because they are wanderers, they should be kept on-leash. As a guardian dog, the Great Pyrenees is a natural barker.","|Major concerns: CHD, patellar luxation|Minor concerns: entropion, OCD, skin problems, osteosarcoma, cataract, chondrodysplasia (dwarfism), panosteitis|Occasionally seen: gastric torsion, otitis externa, spinal muscular atrophy|Suggested tests: hip, knee, (eye)|Life span: 10–12 years"
107,Samoyed,Russia (Siberia),"19-23.5""",35-65 lb, 10–12 years,"Gentle and playful, the Samoyed often makes a good companion for a child or person of any age. They are a closely bonded family dog. They are generally amiable with strangers, other pets, and usually, other dogs. They can be calm indoors, but this clever, sometimes mischievous breed needs daily physical and mental exercise. If allowed to become bored, they will dig and bark. They are independent and often stubborn, but they are willing to please and responsive to their family.  They may tend to herd children.","|Major concerns: CHD|Minor concerns: gastric torsion, cataract, hypothyroidism|Occasionally seen: PRA, diabetes, RD/OSD, PDA|Suggested tests: hip, eye, DNA for PRA, DNA for RD/OSD, cardiac|Life span: 10–12 years"
108,Pomeranian,Germany,"8-11""",3-7 lb, 12–16 years,"Bouncy, bold, and busy, the Pomeranian makes the most of every day. This breed is curious, playful, self-confident (even cocky), and attentive, ever ready for a game or adventure. Reserved toward strangers, some can be territorial toward other dogs, and some enjoy a good barking session.","|Major concerns: patellar luxation|Minor concerns: open fontanel, hypoglycemia, shoulder luxation, PRA, entropion|Occasionally seen: tracheal collapse, PDA, Legg-Perthes|Suggested tests: knee, eye, cardiac, hip|Life span: 12–16 years"
109,Chow,China,"17-20""",45-70 lb, 8–12 years,"Dignified, even lordly, the Chow Chow conducts himself with reserve. He is not very demonstrative, even with his family, and he is somewhat suspicious of strangers. He can be independent and stubborn. He can be assertive toward other dogs but is generally good with other household pets. He may be serious and protective, devoted to his family.","|Major concerns: CHD, entropion, patellar luxation|Minor concerns: elbow dysplasia, cataract, distichiasis, PPM, gastric torsion, stenotic nares, glaucoma, elongated palate|Occasionally seen: renal cortical hypoplasia|Suggested tests: hip, elbow, eye, knee, thyroid|Life span: 8–12 years"
110,Keeshond,The Netherlands,"16-19""",35-45 lb, 12–14 years,"The Keeshond combines many traits of the best housedogs: fairly energetic and playful, very attentive and loving, and ready for adventure yet content to take it easy. This breed is sensitive and learns readily. The Keeshond makes a good companion for a child or adult. Friendly to all, this dog is nonetheless an alert watchdog inside the home.","|Major concerns: none|Minor concerns: CHD, epilepsy, skin problems, patellar luxation, elbow dysplasia|Occasionally seen: renal cortical hypoplasia, tetralogy of Fallot, mitral valve insufficiency|Suggested tests: hip, knee, elbow, eye|Life span: 12–14 years"
111,Brabancon Griffon,Belgium,"9-11""",8-10 lb, 12–15 years ,"The spunky Brussels Griffon is full of himself, brimming with self-confidence and gusto. These dogs are bold, playful, stubborn, and mischievous. They are usually good with other dogs and pets. They tend to bark and climb, and some can be escape artists. Brussels Griffons make saucy companions for a family wanting an entertaining, sensitive pet. However, sensitivity and size make them a poor choice for families with young children. They can be difficult to housetrain and may suffer from separation anxiety.","|Major concerns: none|Minor concerns: none|Occasionally seen: weak bladder, patellar luxation, distichiasis, cataracts, PRA, CHD, Legg-Perthes|Suggested tests: eye, (hip), knee|Life span: 12–15 years • Note: Caesarean sections are often required."
112,Pembroke,Wales,"10-12""",27 lb, 11–13 years,"Quick and quick-witted, the Pembroke Welsh Corgi has an active mind and body. This breed needs daily physical and mental exercise. The dog is devoted and willing to please, fun loving, amiable, and companionable. The breed is very good with children, although may nip at heels in play. This dog is usually reserved with strangers. Many enjoy barking.","|Major concerns: intervertebral disc disease, CHD|Minor concerns: epilepsy, degenerative myelopathy|Occasionally seen: vWD, PRA, lens luxation, urinary stones|Suggested tests: hip, eye|Life span: 11–13 years"
113,Cardigan,Wales,"10.5-12.5""",25-38 lb, 12–14 years,"Fun-loving and high spirited, yet easygoing, the Cardigan is a devoted and amusing companion. This is a hardy breed, capable of a day dodging kicks, so they are agile and tireless. At home he is well mannered, but he is inclined to bark. He tends to be reserved with strangers and can be scrappy with other dogs.","|Major concerns: CHD|Minor concerns: degenerative myelopathy|Occasionally seen: PRA, urinary stones|Suggested tests: hip, eye, (DNA for PRA)|Life span: 12–14 years"
114,Toy Poodle,"France,Germany",11,6-9 lb,12-15 years,"Among the very smartest and most obedient of dogs, the Standard Poodle combines playful exuberance with a zest for life’s adventures. This breed retains its hunting heritage, and loves to run, swim, and retrieve. The dog gets along well with everyone, although is somewhat reserved with strangers. The Poodle is excellent with children.","|Major concerns: sebaceous adenitis, gastric torsion, Addison’s|Minor concerns: distichiasis, entropion, cataract, CHD, epilepsy|Occasionally seen: PDA, vWD|Suggested tests: (skinpunch for SA), eye, hip|Life span: 10–13 years"
115,Miniature Poodle,"Germany, Central Europe","10-15""",12-18 lb, 13–15 years,"The Miniature Poodle is often lively, amiable, playful, eager to please, responsive, smart, and obedient—small wonder that they have remained one of the most popular varieties of dog for so long. They are often sensitive, tending to be devoted to one person, and initially reserved with strangers. They can be good with children, other pets, and dogs. Some tend to bark a lot.","|Major concerns: PRA, Legg–Perthes, patellar luxation, epilepsy|Minor concerns: trichiasis, entropion, lacrimal duct atresia, cataract, glaucoma, distichiasis|Occasionally seen: urinary stones, intervertebral disk degeneration|Suggested tests: eye, knee, hip, DNA for PRA|Life span: 13–15 years"
116,Standard Poodle,"Germany, Central Europe","21""",45-65 lb, 10–13 years,"Among the very smartest and most obedient of dogs, the Standard Poodle combines playful exuberance with a zest for life’s adventures. This breed retains its hunting heritage, and loves to run, swim, and retrieve. The dog gets along well with everyone, although is somewhat reserved with strangers. The Poodle is excellent with children.","|Major concerns: sebaceous adenitis, gastric torsion, Addison’s|Minor concerns: distichiasis, entropion, cataract, CHD, epilepsy|Occasionally seen: PDA, vWD|Suggested tests: (skinpunch for SA), eye, hip|Life span: 10–13 years"
117,Mexican Hairless,Mexico,"10-23""",9-35 lb, 11–14 years,"As a primitive breed, Xoloitzcuintli may be somewhat independent natured. They do like to please, but they’re also independent thinkers. They tend to be calm but inquisitive, devoted but not fawning, self-assured but not overly trusting of strangers. They get along fairly well with other dogs and pets. They are alert watchdogs in the home and will alert their family to visitors or strangers, however they are typically not excessive barkers. Some can be escape artists.",|Major concerns: none|Minor concerns: acne|Occasionally seen: patellar luxation (toys)|Suggested tests: none|Life span: 11–14 years
118,Dingo,Australia ,23,35 lb,3-16 years,Wild Animal,None
119,Dhole," Central, South, East Asia, and Southeast Asia",30-40,22-37 lb,up to 16 years,Wild Animal,None
120,African Hunting Dog,Sub-Sahara Africa,30–41,35–50 lb,10-12 years,Wild Animal,None
